User ID,Role,Email Address
31101,Broker,Selene.Shilling@cbre.com
28499,Broker,Beverley.Burchard@cbre.com
67306,Admin,agueda.auten@cbre.com
46012,Broker,Melanie.Mccawley@cbre.com
14288,Admin,Akilah.Ashley@cbre.com
52160,Admin,Nicholle.Navarre@cbre.com
38443,Broker,Angel.Armwood@cbre.com
48689,Admin,Genevie.Gamblin@cbre.com
15522,Broker,Marietta.Meisel@cbre.com
77537,Admin,gordon.gong@cbre.com
27268,Broker,Rosaura.Rosas@cbre.com
92705,Broker,Penni.Parcell@cbre.com
65369,Admin,Franklin.Fajardo@cbre.com
51175,Broker,Magdalene.Minton@cbre.com
90531,Broker,Alaine.Arjona@cbre.com
80780,Broker,Lakeshia.Linder@cbre.com
27352,Admin,Pearlie.Papp@cbre.com
39405,Admin,Shayna.Shehorn@cbre.com
53584,Broker,Dorie.Dedrick@cbre.com
82588,Broker,Shirl.Selander@cbre.com
27789,Admin,Nelia.Nishioka@cbre.com
67306,Admin,Agueda.Auten@cbre.com
57368,Broker,Lyndsay.Leopard@cbre.com
51958,Admin,Stella.Stickle@cbre.com
77537,Admin,Gordon.Gong@cbre.com
56828,Admin,Amalia.Archibald@cbre.com
84179,Research,Willie.Wan@cbre.com
81752,Research,Vanita.Ventimiglia@cbre.com
63675,Broker,Soon.Salls@cbre.com
75451,Broker,Nenita.Noga@cbre.com
50180,Broker,Delana.Denn@cbre.com
44712,Broker,Regena.Redden@cbre.com
67818,Broker,Wes.Wacker@cbre.com
93824,Broker,Penelope.Pocock@cbre.com
31101,Broker,selene.shilling@cbre.com
72785,Broker,Kirstin.Kerr@cbre.com
18421,Admin,Rolland.Rackley@cbre.com
83943,Broker,Ardath.Ascher@cbre.com
49804,Broker,Lisa.Leff@cbre.com
80689,Admin,Hortense.Haden@cbre.com
80055,Broker,Cheyenne.Callaghan@cbre.com
51877,Research,Lorie.Ludlow@cbre.com
12630,Broker,Rita.Rohlfing@cbre.com
19810,Admin,Pok.Phung@cbre.com
86899,Admin,Warner.Whitworth@cbre.com
24094,Broker,Jaye.Janusz@cbre.com
13739,Broker,Kasi.Kreiner@cbre.com
12246,Broker,Pinkie.Pallas@cbre.com
88845,Admin,Graig.Gomez@cbre.com
42046,Admin,Felica.Feiler@cbre.com
